Iex,Iin,I,,,,
0,0,0,,,,
1.114699613,18.900377,20.00966726,,-4.458798451,-75.601508,-80.03866904
-6.79E-07,5.89E-07,7.34E-08,,,,
-6.76E-07,-3.07E-06,-3.59E-06,,,,
-6.71E-07,-1.14E-05,-1.20E-05,,,,
-6.67E-07,-8.64E-06,-9.15E-06,,,,
-6.66E-07,-6.84E-06,-7.35E-06,,,,
-6.65E-07,-5.34E-06,-5.86E-06,,,,
-6.64E-07,-6.44E-06,-6.96E-06,,,,
-6.63E-07,-1.35E-05,-1.40E-05,,,,
-6.65E-07,-5.27E-06,-5.78E-06,,,,
-6.67E-07,-7.35E-06,-7.87E-06,,,,
-6.67E-07,-5.20E-06,-5.71E-06,,,,
-6.69E-07,-2.76E-06,-3.27E-06,,,,
-6.71E-07,-1.24E-05,-1.30E-05,,,,
-6.74E-07,-5.06E-06,-5.58E-06,,,,
-6.76E-07,2.08E-05,2.03E-05,,,,
-6.77E-07,-5.68E-06,-6.19E-06,,,,
-6.80E-07,-6.66E-06,-7.18E-06,,,,
-6.82E-07,-3.08E-09,-5.19E-07,,,,
-6.83E-07,4.82E-06,4.30E-06,,,,
-6.84E-07,-4.77E-06,-5.29E-06,,,,
-6.85E-07,-3.31E-06,-3.82E-06,,,,
-6.86E-07,-5.37E-06,-5.88E-06,,,,
-6.87E-07,3.30E-08,-4.82E-07,,,,
-6.87E-07,-1.15E-05,-1.20E-05,,,,
-6.88E-07,-5.89E-06,-6.40E-06,,,,
-6.87E-07,-6.91E-06,-7.43E-06,,,,
-6.87E-07,-1.13E-05,-1.18E-05,,,,
-6.87E-07,-6.51E-06,-7.02E-06,,,,
-6.86E-07,-4.91E-06,-5.43E-06,,,,
-6.85E-07,-7.03E-06,-7.54E-06,,,,
-6.84E-07,-1.66E-05,-1.71E-05,,,,
-6.83E-07,-1.32E-05,-1.37E-05,,,,
-6.82E-07,-6.51E-07,-1.17E-06,,,,
-6.81E-07,-7.03E-06,-7.54E-06,,,,
-6.80E-07,-8.18E-06,-8.70E-06,,,,
-6.79E-07,-2.79E-06,-3.31E-06,,,,
-6.77E-07,-5.58E-06,-6.10E-06,,,,
-6.76E-07,-3.78E-06,-4.29E-06,,,,
-6.74E-07,-6.04E-06,-6.55E-06,,,,
-6.73E-07,-1.31E-05,-1.36E-05,,,,
-6.72E-07,-6.69E-06,-7.20E-06,,,,
-6.70E-07,-5.32E-07,-1.05E-06,,,,
-6.69E-07,-5.42E-06,-5.93E-06,,,,
-6.68E-07,-3.49E-06,-4.01E-06,,,,
-6.66E-07,-9.56E-06,-1.01E-05,,,,
-6.65E-07,-8.76E-06,-9.28E-06,,,,
-6.64E-07,-5.65E-06,-6.17E-06,,,,
-6.63E-07,-8.20E-06,-8.72E-06,,,,
-6.62E-07,-6.67E-06,-7.19E-06,,,,
