Iex,Iin,I,,,,
0,0,0,,,,
1.22935808,0.038062397,1.264921157,,-4.917432321,-0.152249587,-5.059684629
-3.40E-06,-2.17E-06,-3.99E-06,,,,
-3.41E-06,-2.16E-06,-3.97E-06,,,,
-3.41E-06,-2.12E-06,-3.94E-06,,,,
-3.41E-06,-2.14E-06,-3.95E-06,,,,
-3.41E-06,-2.16E-06,-3.97E-06,,,,
-3.42E-06,-2.15E-06,-3.97E-06,,,,
-3.42E-06,-2.11E-06,-3.92E-06,,,,
-3.42E-06,-2.15E-06,-3.97E-06,,,,
-3.43E-06,-2.16E-06,-3.98E-06,,,,
-3.43E-06,-2.14E-06,-3.95E-06,,,,
-3.43E-06,-2.13E-06,-3.95E-06,,,,
-3.44E-06,-2.16E-06,-3.97E-06,,,,
-3.44E-06,-2.21E-06,-4.02E-06,,,,
-3.44E-06,-2.16E-06,-3.97E-06,,,,
-3.45E-06,-2.18E-06,-3.99E-06,,,,
-3.45E-06,-2.20E-06,-4.02E-06,,,,
-3.46E-06,-2.20E-06,-4.01E-06,,,,
-3.46E-06,-2.20E-06,-4.01E-06,,,,
-3.46E-06,-2.22E-06,-4.04E-06,,,,
-3.47E-06,-2.21E-06,-4.02E-06,,,,
-3.47E-06,-2.26E-06,-4.07E-06,,,,
-3.48E-06,-2.20E-06,-4.02E-06,,,,
-3.48E-06,-2.19E-06,-4.00E-06,,,,
-3.49E-06,-2.19E-06,-4.00E-06,,,,
-3.49E-06,-2.23E-06,-4.04E-06,,,,
-3.49E-06,-2.26E-06,-4.07E-06,,,,
-3.50E-06,-2.26E-06,-4.07E-06,,,,
-3.50E-06,-2.27E-06,-4.08E-06,,,,
-3.51E-06,-2.23E-06,-4.04E-06,,,,
-3.51E-06,-2.22E-06,-4.03E-06,,,,
-3.52E-06,-2.27E-06,-4.08E-06,,,,
-3.52E-06,-2.27E-06,-4.08E-06,,,,
-3.53E-06,-2.27E-06,-4.08E-06,,,,
-3.53E-06,-2.29E-06,-4.10E-06,,,,
-3.54E-06,-2.24E-06,-4.05E-06,,,,
-3.54E-06,-2.33E-06,-4.13E-06,,,,
-3.54E-06,-2.29E-06,-4.10E-06,,,,
-3.55E-06,-2.27E-06,-4.08E-06,,,,
-3.55E-06,-2.31E-06,-4.12E-06,,,,
-3.56E-06,-2.28E-06,-4.09E-06,,,,
-3.56E-06,-2.34E-06,-4.15E-06,,,,
-3.57E-06,-2.31E-06,-4.12E-06,,,,
-3.57E-06,-2.32E-06,-4.13E-06,,,,
-3.58E-06,-2.30E-06,-4.10E-06,,,,
-3.58E-06,-2.36E-06,-4.17E-06,,,,
-3.58E-06,-2.32E-06,-4.12E-06,,,,
-3.59E-06,-2.35E-06,-4.15E-06,,,,
-3.59E-06,-2.31E-06,-4.12E-06,,,,
-3.60E-06,-2.32E-06,-4.12E-06,,,,
-3.60E-06,-2.34E-06,-4.14E-06,,,,
-3.60E-06,-2.32E-06,-4.13E-06,,,,
-3.61E-06,-2.39E-06,-4.20E-06,,,,
-3.61E-06,-2.35E-06,-4.15E-06,,,,
-3.62E-06,-2.36E-06,-4.16E-06,,,,
-3.62E-06,-2.40E-06,-4.20E-06,,,,
-3.62E-06,-2.39E-06,-4.19E-06,,,,
-3.63E-06,-2.36E-06,-4.16E-06,,,,
-3.63E-06,-2.38E-06,-4.18E-06,,,,
-3.64E-06,-2.37E-06,-4.17E-06,,,,
-3.64E-06,-2.37E-06,-4.17E-06,,,,
-3.64E-06,-2.39E-06,-4.19E-06,,,,
-3.65E-06,-2.37E-06,-4.17E-06,,,,
-3.65E-06,-2.38E-06,-4.18E-06,,,,
-3.65E-06,-2.40E-06,-4.20E-06,,,,
-3.66E-06,-2.42E-06,-4.21E-06,,,,
-3.66E-06,-2.41E-06,-4.21E-06,,,,
-3.66E-06,-2.45E-06,-4.24E-06,,,,
-3.67E-06,-2.39E-06,-4.19E-06,,,,
-3.67E-06,-2.43E-06,-4.23E-06,,,,
-3.67E-06,-2.43E-06,-4.22E-06,,,,
-3.68E-06,-2.39E-06,-4.19E-06,,,,
-3.68E-06,-2.47E-06,-4.27E-06,,,,
-3.68E-06,-2.42E-06,-4.21E-06,,,,
-3.68E-06,-2.47E-06,-4.27E-06,,,,
-3.69E-06,-2.46E-06,-4.26E-06,,,,
-3.69E-06,-2.47E-06,-4.27E-06,,,,
-3.69E-06,-2.43E-06,-4.22E-06,,,,
-3.70E-06,-2.46E-06,-4.25E-06,,,,
-3.70E-06,-2.43E-06,-4.22E-06,,,,
-3.70E-06,-2.43E-06,-4.22E-06,,,,
-3.70E-06,-2.43E-06,-4.22E-06,,,,
-3.71E-06,-2.47E-06,-4.26E-06,,,,
-3.71E-06,-2.48E-06,-4.27E-06,,,,
-3.71E-06,-2.44E-06,-4.23E-06,,,,
-3.71E-06,-2.49E-06,-4.28E-06,,,,
-3.72E-06,-2.48E-06,-4.27E-06,,,,
-3.72E-06,-2.47E-06,-4.26E-06,,,,
-3.72E-06,-2.47E-06,-4.26E-06,,,,
-3.72E-06,-2.48E-06,-4.27E-06,,,,
-3.72E-06,-2.44E-06,-4.22E-06,,,,
-3.73E-06,-2.53E-06,-4.31E-06,,,,
-3.73E-06,-2.48E-06,-4.26E-06,,,,
-3.73E-06,-2.50E-06,-4.28E-06,,,,
-3.73E-06,-2.55E-06,-4.33E-06,,,,
-3.73E-06,-2.47E-06,-4.25E-06,,,,
-3.73E-06,-2.54E-06,-4.32E-06,,,,
-3.74E-06,-2.52E-06,-4.30E-06,,,,
-3.74E-06,-2.53E-06,-4.31E-06,,,,
-3.74E-06,-2.55E-06,-4.33E-06,,,,
-3.74E-06,-2.52E-06,-4.30E-06,,,,
-3.74E-06,-2.53E-06,-4.31E-06,,,,
-3.74E-06,-2.57E-06,-4.34E-06,,,,
-3.74E-06,-2.56E-06,-4.33E-06,,,,
-3.75E-06,-2.50E-06,-4.27E-06,,,,
-3.75E-06,-2.52E-06,-4.28E-06,,,,
-3.75E-06,-2.48E-06,-4.25E-06,,,,
-3.75E-06,-2.52E-06,-4.29E-06,,,,
-3.75E-06,-2.52E-06,-4.29E-06,,,,
-3.75E-06,-2.54E-06,-4.30E-06,,,,
-3.75E-06,-2.51E-06,-4.27E-06,,,,
-3.75E-06,-2.54E-06,-4.30E-06,,,,
-3.75E-06,-2.57E-06,-4.33E-06,,,,
-3.75E-06,-2.54E-06,-4.29E-06,,,,
-3.75E-06,-2.50E-06,-4.26E-06,,,,
-3.75E-06,-2.51E-06,-4.27E-06,,,,
-3.75E-06,-2.53E-06,-4.29E-06,,,,
-3.75E-06,-2.57E-06,-4.32E-06,,,,
-3.75E-06,-2.57E-06,-4.32E-06,,,,
-3.75E-06,-2.54E-06,-4.28E-06,,,,
-3.75E-06,-2.55E-06,-4.30E-06,,,,
-3.75E-06,-2.52E-06,-4.27E-06,,,,
-3.75E-06,-2.53E-06,-4.27E-06,,,,
-3.75E-06,-2.54E-06,-4.28E-06,,,,
-3.75E-06,-2.58E-06,-4.32E-06,,,,
-3.75E-06,-2.56E-06,-4.29E-06,,,,
-3.75E-06,-2.56E-06,-4.29E-06,,,,
-3.75E-06,-2.56E-06,-4.29E-06,,,,
-3.75E-06,-2.55E-06,-4.28E-06,,,,
-3.75E-06,-2.57E-06,-4.30E-06,,,,
-3.75E-06,-2.62E-06,-4.34E-06,,,,
-3.75E-06,-2.57E-06,-4.29E-06,,,,
-3.75E-06,-2.53E-06,-4.25E-06,,,,
-3.75E-06,-2.57E-06,-4.29E-06,,,,
-3.74E-06,-2.56E-06,-4.28E-06,,,,
-3.74E-06,-2.59E-06,-4.30E-06,,,,
-3.74E-06,-2.56E-06,-4.26E-06,,,,
-3.74E-06,-2.60E-06,-4.30E-06,,,,
-3.74E-06,-2.62E-06,-4.32E-06,,,,
-3.74E-06,-2.55E-06,-4.25E-06,,,,
-3.73E-06,-2.57E-06,-4.26E-06,,,,
-3.73E-06,-2.58E-06,-4.27E-06,,,,
-3.73E-06,-2.61E-06,-4.30E-06,,,,
-3.73E-06,-2.55E-06,-4.23E-06,,,,
-3.72E-06,-2.58E-06,-4.26E-06,,,,
-3.72E-06,-2.56E-06,-4.23E-06,,,,
-3.72E-06,-2.59E-06,-4.26E-06,,,,
-3.71E-06,-2.60E-06,-4.26E-06,,,,
-3.71E-06,-2.60E-06,-4.26E-06,,,,
-3.71E-06,-2.59E-06,-4.24E-06,,,,
-3.70E-06,-2.58E-06,-4.23E-06,,,,
-3.70E-06,-2.59E-06,-4.23E-06,,,,
-3.70E-06,-2.55E-06,-4.19E-06,,,,
-3.69E-06,-2.59E-06,-4.22E-06,,,,
-3.69E-06,-2.55E-06,-4.17E-06,,,,
-3.68E-06,-2.60E-06,-4.22E-06,,,,
-3.68E-06,-2.56E-06,-4.17E-06,,,,
-3.67E-06,-2.56E-06,-4.17E-06,,,,
-3.66E-06,-2.63E-06,-4.23E-06,,,,
-3.66E-06,-2.62E-06,-4.22E-06,,,,
-3.65E-06,-2.56E-06,-4.14E-06,,,,
-3.65E-06,-2.59E-06,-4.16E-06,,,,
-3.64E-06,-2.59E-06,-4.16E-06,,,,
-3.63E-06,-2.61E-06,-4.17E-06,,,,
-3.62E-06,-2.62E-06,-4.17E-06,,,,
-3.61E-06,-2.64E-06,-4.18E-06,,,,
-3.61E-06,-2.62E-06,-4.15E-06,,,,
-3.60E-06,-2.61E-06,-4.13E-06,,,,
-3.59E-06,-2.60E-06,-4.11E-06,,,,
-3.58E-06,-2.62E-06,-4.12E-06,,,,
-3.57E-06,-2.63E-06,-4.11E-06,,,,
-3.56E-06,-2.66E-06,-4.14E-06,,,,
-3.54E-06,-2.65E-06,-4.11E-06,,,,
-3.53E-06,-2.60E-06,-4.05E-06,,,,
-3.52E-06,-2.65E-06,-4.09E-06,,,,
-3.50E-06,-2.61E-06,-4.03E-06,,,,
-3.49E-06,-2.63E-06,-4.04E-06,,,,
-3.47E-06,-2.55E-06,-3.94E-06,,,,
-3.46E-06,-2.58E-06,-3.96E-06,,,,
-3.44E-06,-2.61E-06,-3.96E-06,,,,
-3.42E-06,-2.62E-06,-3.96E-06,,,,
-3.40E-06,-2.60E-06,-3.92E-06,,,,
-3.38E-06,-2.60E-06,-3.90E-06,,,,
-3.36E-06,-2.59E-06,-3.86E-06,,,,
-3.34E-06,-2.57E-06,-3.83E-06,,,,
-3.32E-06,-2.56E-06,-3.79E-06,,,,
-3.29E-06,-2.62E-06,-3.82E-06,,,,
-3.27E-06,-2.60E-06,-3.78E-06,,,,
-3.24E-06,-2.60E-06,-3.74E-06,,,,
-3.21E-06,-2.56E-06,-3.68E-06,,,,
-3.18E-06,-2.60E-06,-3.68E-06,,,,
-3.14E-06,-2.59E-06,-3.64E-06,,,,
-3.11E-06,-2.56E-06,-3.57E-06,,,,
-3.07E-06,-2.60E-06,-3.57E-06,,,,
-3.03E-06,-2.55E-06,-3.48E-06,,,,
-2.99E-06,-2.60E-06,-3.49E-06,,,,
-2.94E-06,-2.58E-06,-3.42E-06,,,,
-2.89E-06,-2.57E-06,-3.37E-06,,,,
0,0,0,,,,
