alpha,nu,S,phi_k,xi_bar,a,wss,els
0.25,0.6,0,0,0.025,0.001,1.556737617,-2.64134028
0.25,0.6,0,0,0.05,0.001,1.549354056,-2.723892165
0.25,0.6,0,0,0.075,0.001,1.542593206,-2.863906558
0.25,0.6,0,0,0.1,0.001,1.53649334,-2.791808799
0.25,0.6,0,0,0.125,0.001,1.530965748,-2.825464398
0.25,0.6,0,0,0.15,0.001,1.525753972,-2.865118253
0.25,0.6,0,0,0.175,0.001,1.520845805,-2.894552812
0.25,0.6,0,0,0.2,0.001,1.516146759,-2.915785251
0.25,0.6,0,0,0.225,0.001,1.51162739,-2.921648901
0.25,0.6,0,0,0.25,0.001,1.507283946,-2.918798382
0.25,0.6,0,0,0.275,0.001,1.503055343,-2.919824801
0.25,0.6,0,0,0.3,0.001,1.498920897,-2.913279224
0.25,0.6,0,0,0.325,0.001,1.494985332,-2.904254884
0.25,0.6,0,0,0.35,0.001,1.491088879,-2.898648849
0.25,0.6,0,0,0.375,0.001,1.487276745,-2.891243324
0.25,0.6,0,0,0.4,0.001,1.483534329,-2.890899965
0.25,0.6,0,0,0.425,0.001,1.479951631,-2.8829814
0.25,0.6,0,0,0.45,0.001,1.476361536,-2.880509716
0.25,0.6,0,0,0.475,0.001,1.472817994,-2.879503833
0.25,0.6,0,0,0.5,0.001,1.469323969,-2.877120494
0.25,0.6,0,0,0.525,0.001,1.465876434,-2.879494909
0.25,0.6,0,0,0.55,0.001,1.462567418,-2.875009286
0.25,0.6,0,0,0.575,0.001,1.459222605,-2.876558031
0.25,0.6,0,0,0.6,0.001,1.455914108,-2.876905635
0.25,0.6,0,0,0.625,0.001,1.452648789,-2.878293542
0.25,0.6,0,0,0.65,0.001,1.449431056,-2.879668847
0.25,0.6,0,0,0.675,0.001,1.446255875,-2.881470019
0.25,0.6,0,0,0.7,0.001,1.443187204,-2.881381292
0.25,0.6,0,0,0.725,0.001,1.44014631,-2.881708378
0.25,0.6,0,0,0.75,0.001,1.437133044,-2.883529981
0.25,0.6,0,0,0.775,0.001,1.434179041,-2.885181033
0.25,0.6,0,0,0.8,0.001,1.431290002,-2.886901521
0.25,0.6,0,0,0.825,0.001,1.428467179,-2.888601899
0.25,0.6,0,0,0.85,0.001,1.425715101,-2.890691276
0.25,0.6,0,0,0.875,0.001,1.423044798,-2.892019549
0.25,0.6,0,0,0.9,0.001,1.420469902,-2.892031769
0.25,0.6,0,0,0.925,0.001,1.417915237,-2.894027647
0.25,0.6,0,0,0.95,0.001,1.415419924,-2.895726166
0.25,0.6,0,0,0.975,0.001,1.412983221,-2.897631422
0.25,0.6,0,0,1,0.001,1.410602095,-2.899635155
