alpha,nu,phi_k,sigmaxi,a,wss,els
0.25,0.6,0.0,0.00938194187433142,0.001,1.4279966743763792,78.45763511383818
0.25,0.6,0.0,0.01876388374866284,0.001,1.4269479800607285,45.04087225349947
0.25,0.6,0.0,0.02814582562299426,0.001,1.426691562950536,29.762497648069925
0.25,0.6,0.0,0.03752776749732568,0.001,1.4262160707619536,22.444765141804393
0.25,0.6,0.0,0.046909709371657095,0.001,1.4253022680520464,18.1844181702207
0.25,0.6,0.0,0.05629165124598852,0.001,1.424104191926366,15.151294686105443
0.25,0.6,0.0,0.06567359312031994,0.001,1.4224557711563757,13.033232275778145
0.25,0.6,0.0,0.07505553499465135,0.001,1.4205422577721885,11.442611830738148
0.25,0.6,0.0,0.08443747686898277,0.001,1.4187460042902815,10.208600067214764
0.25,0.6,0.0,0.09381941874331419,0.001,1.4170807907198084,9.16252143349317
0.25,0.6,0.0,0.10320136061764561,0.001,1.4160272116268302,8.428145262449005
0.25,0.6,0.0,0.11258330249197704,0.001,1.4171974763734938,7.787499772170866
0.25,0.6,0.0,0.12196524436630846,0.001,1.4195672320407196,7.202221672691388
0.25,0.6,0.0,0.13134718624063987,0.001,1.4227269742592075,6.724171942496682
0.25,0.6,0.0,0.1407291281149713,0.001,1.4263400657389804,6.2016595112701705
0.25,0.6,0.0,0.1501110699893027,0.001,1.430021698639014,5.8061657965215
0.25,0.6,0.0,0.15949301186363413,0.001,1.4334502746937452,5.482194221017619
0.25,0.6,0.0,0.16887495373796554,0.001,1.4370497275361342,5.1820633588889695
0.25,0.6,0.0,0.17825689561229696,0.001,1.4428651156255188,4.935743623012588
0.25,0.6,0.0,0.18763883748662838,0.001,1.4494310664262777,4.756096243123718
0.25,0.6,0.0,0.1970207793609598,0.001,1.4540521484318003,4.617774674281771
0.25,0.6,0.0,0.20640272123529121,0.001,1.4578330489046247,4.901746490794489
0.25,0.6,0.0,0.21578466310962263,0.001,1.461365721241496,4.538671060904896
0.25,0.6,0.0,0.22516660498395408,0.001,1.464656768266456,4.417117648662534
0.25,0.6,0.0,0.2345485468582855,0.001,1.4676255753603134,4.607260504909675
0.25,0.6,0.0,0.2439304887326169,0.001,1.470583484084572,4.5310259886105815
0.25,0.6,0.0,0.2533124306069483,0.001,1.4734147710494243,4.292675963112097
0.25,0.6,0.0,0.26269437248127975,0.001,1.4759478596248459,4.914461140745466
0.25,0.6,0.0,0.27207631435561114,0.001,1.4785522078187237,4.198002345514241
0.25,0.6,0.0,0.2814582562299426,0.001,1.4809469197638916,4.588935556088101
0.25,0.6,0.0,0.290840198104274,0.001,1.4832321354539728,4.552074805499914
0.25,0.6,0.0,0.3002221399786054,0.001,1.4854393882595487,4.638305950100076
0.25,0.6,0.0,0.30960408185293686,0.001,1.4874733907226139,4.981156613568151
0.25,0.6,0.0,0.31898602372726825,0.001,1.4895342119007557,4.553276945968534
0.25,0.6,0.0,0.3283679656015997,0.001,1.491367990208626,5.348630880333741
0.25,0.6,0.0,0.3377499074759311,0.001,1.4932267102745187,4.842802990556507
0.25,0.6,0.0,0.34713184935026253,0.001,1.4951090760126013,4.641548907931391
0.25,0.6,0.0,0.3565137912245939,0.001,1.496579614974169,5.941954440652535
0.25,0.6,0.0,0.36589573309892537,0.001,1.498159339906503,6.452496980791449
0.25,0.6,0.0,0.37527767497325676,0.001,1.4997085666861218,5.397499118430563
0.25,0.6,2.4,0.00938194187433142,0.001,1.3955242878327805,77.60083615229641
0.25,0.6,2.4,0.01876388374866284,0.001,1.3959676862492192,46.64152975792179
0.25,0.6,2.4,0.02814582562299426,0.001,1.396544746090432,31.48632135421107
0.25,0.6,2.4,0.03752776749732568,0.001,1.396785734389008,23.601003187425448
0.25,0.6,2.4,0.046909709371657095,0.001,1.39672868494267,19.980407290837004
0.25,0.6,2.4,0.05629165124598852,0.001,1.3963201628659305,16.730475668151172
0.25,0.6,2.4,0.06567359312031994,0.001,1.395688060828241,14.411077948931009
0.25,0.6,2.4,0.07505553499465135,0.001,1.395091194447279,12.583878897087203
0.25,0.6,2.4,0.08443747686898277,0.001,1.3945019154745082,11.18373760689349
