alpha,nu,phi_k,muxi,sigmaxi,a,wss,els
0.25,0.6,2.4,0.01625,0.00938194187433142,0.001,1.5357133617537952,21.31925518327297
0.25,0.6,2.4,0.01625,0.01876388374866284,0.001,1.5356690103015167,15.426336228888163
0.25,0.6,2.4,0.01625,0.02814582562299426,0.001,1.5351821733658244,13.370349834138922
0.25,0.6,2.4,0.01625,0.03752776749732568,0.001,1.5345706763391018,12.491463424850906
0.25,0.6,2.4,0.01625,0.046909709371657095,0.001,1.5338900421152821,11.725477350934469
0.25,0.6,2.4,0.01625,0.05629165124598852,0.001,1.53321906152433,11.141900730408098
0.25,0.6,2.4,0.01625,0.06567359312031994,0.001,1.5325884554978018,10.665700174128602
0.25,0.6,2.4,0.01625,0.07505553499465135,0.001,1.5320139766176648,10.263760375888598
0.25,0.6,2.4,0.01625,0.08443747686898277,0.001,1.5314871677776174,9.989017435853922
0.25,0.6,2.4,0.01625,0.09381941874331419,0.001,1.5310146120431583,9.744588394247783
0.25,0.6,2.4,0.01625,0.10320136061764561,0.001,1.5305913975901866,9.540909115618849
0.25,0.6,2.4,0.01625,0.11258330249197704,0.001,1.5302108181022975,9.357482205764281
0.25,0.6,2.4,0.01625,0.12196524436630846,0.001,1.529862621013205,9.215547223050963
0.25,0.6,2.4,0.01625,0.13134718624063987,0.001,1.529545028863305,9.088642852167146
0.25,0.6,2.4,0.01625,0.1407291281149713,0.001,1.5292531681486898,8.980166548583005
0.25,0.6,2.4,0.01625,0.1501110699893027,0.001,1.5289847488365782,8.879859855543819
0.25,0.6,2.4,0.01625,0.15949301186363413,0.001,1.5287362912530198,8.77208649532585
0.25,0.6,2.4,0.01625,0.16887495373796554,0.001,1.5285049633189234,8.667868582701212
0.25,0.6,2.4,0.01625,0.17825689561229696,0.001,1.528289520487631,8.57466211845935
0.25,0.6,2.4,0.01625,0.18763883748662838,0.001,1.5280880704451218,8.493431656034412
0.25,0.6,2.4,0.01625,0.1970207793609598,0.001,1.5278956230596086,8.433849042148738
0.25,0.6,2.4,0.01625,0.20640272123529121,0.001,1.5277130478158645,8.38551739214898
0.25,0.6,2.4,0.01625,0.21578466310962263,0.001,1.5275407960536256,8.34092137750798
0.25,0.6,2.4,0.01625,0.22516660498395408,0.001,1.5273778829558,8.299578810216872
0.25,0.6,2.4,0.01625,0.2345485468582855,0.001,1.527223509902597,8.261114150173363
0.25,0.6,2.4,0.01625,0.2439304887326169,0.001,1.5270769743751698,8.225114744863422
0.25,0.6,2.4,0.01625,0.2533124306069483,0.001,1.5269376057100985,8.191580441190025
0.25,0.6,2.4,0.01625,0.26269437248127975,0.001,1.5268048783764847,8.160219639308771
0.25,0.6,2.4,0.01625,0.27207631435561114,0.001,1.5266783417875653,8.130839411740592
0.25,0.6,2.4,0.01625,0.2814582562299426,0.001,1.5265575376200067,8.103306994801766
0.25,0.6,2.4,0.01625,0.290840198104274,0.001,1.5264420868839403,8.077367695303513
0.25,0.6,2.4,0.01625,0.3002221399786054,0.001,1.5263316208916031,8.052998565204293
0.25,0.6,2.4,0.01625,0.30960408185293686,0.001,1.5262258160080517,8.030002419356537
0.25,0.6,2.4,0.01625,0.31898602372726825,0.001,1.526124711653473,8.00655499741626
0.25,0.6,2.4,0.01625,0.3283679656015997,0.001,1.5260280459104978,7.982495038947781
0.25,0.6,2.4,0.01625,0.3377499074759311,0.001,1.5259352271949735,7.95958389974323
0.25,0.6,2.4,0.01625,0.34713184935026253,0.001,1.5258460121853217,7.939079475609555
0.25,0.6,2.4,0.01625,0.3565137912245939,0.001,1.5257602319750871,7.919501358277242
0.25,0.6,2.4,0.01625,0.36589573309892537,0.001,1.5256776151538296,7.900905702565544
0.25,0.6,2.4,0.01625,0.37527767497325676,0.001,1.5255980530260398,7.883144941392164
0.25,0.6,2.4,0.0325,0.00938194187433142,0.001,1.5215467620643826,26.613664161410338
0.25,0.6,2.4,0.0325,0.01876388374866284,0.001,1.5251870877489195,16.658569737431915
0.25,0.6,2.4,0.0325,0.02814582562299426,0.001,1.5271944988124986,14.150769189456327
0.25,0.6,2.4,0.0325,0.03752776749732568,0.001,1.527990690008784,12.542768346286003
0.25,0.6,2.4,0.0325,0.046909709371657095,0.001,1.5282459124397134,11.59426549638034
0.25,0.6,2.4,0.0325,0.05629165124598852,0.001,1.5282211485583972,10.913749063550787
0.25,0.6,2.4,0.0325,0.06567359312031994,0.001,1.5280866342930688,10.397713003230137
0.25,0.6,2.4,0.0325,0.07505553499465135,0.001,1.5279046173467745,10.031112420333955
0.25,0.6,2.4,0.0325,0.08443747686898277,0.001,1.5277044897312768,9.731899161942112
0.25,0.6,2.4,0.0325,0.09381941874331419,0.001,1.527506558849359,9.489446540089366
0.25,0.6,2.4,0.0325,0.10320136061764561,0.001,1.527315337284215,9.260925358280758
0.25,0.6,2.4,0.0325,0.11258330249197704,0.001,1.527133634322089,9.0772620516071
0.25,0.6,2.4,0.0325,0.12196524436630846,0.001,1.526957316742074,8.93085148763827
0.25,0.6,2.4,0.0325,0.13134718624063987,0.001,1.5267881902432672,8.816331104507222
0.25,0.6,2.4,0.0325,0.1407291281149713,0.001,1.5266286992114102,8.714422384999445
0.25,0.6,2.4,0.0325,0.1501110699893027,0.001,1.5264772300978433,8.630577995717184
0.25,0.6,2.4,0.0325,0.15949301186363413,0.001,1.5263346708299137,8.55352640654913
0.25,0.6,2.4,0.0325,0.16887495373796554,0.001,1.5262001709591357,8.480141268368358
0.25,0.6,2.4,0.0325,0.17825689561229696,0.001,1.5260722212531237,8.416210130103797
0.25,0.6,2.4,0.0325,0.18763883748662838,0.001,1.525950840155368,8.358029233875898
