Iex,Iin,I,,,,
0,0,0,,,,
150.4231935,0.024253814,150.4437667,,-601.6927739,-0.097015254,-601.7750668
3.43E-07,1.30E-06,1.30E-06,,,,
3.03E-07,1.25E-06,1.25E-06,,,,
2.75E-07,1.23E-06,1.23E-06,,,,
3.03E-07,1.38E-06,1.38E-06,,,,
3.40E-07,1.29E-06,1.29E-06,,,,
3.27E-07,1.28E-06,1.28E-06,,,,
2.86E-07,1.23E-06,1.23E-06,,,,
2.85E-07,1.37E-06,1.37E-06,,,,
3.23E-07,1.28E-06,1.28E-06,,,,
3.38E-07,1.42E-06,1.42E-06,,,,
3.08E-07,1.26E-06,1.26E-06,,,,
2.83E-07,1.36E-06,1.36E-06,,,,
3.03E-07,1.25E-06,1.25E-06,,,,
3.36E-07,1.29E-06,1.29E-06,,,,
3.28E-07,1.28E-06,1.28E-06,,,,
2.96E-07,1.25E-06,1.25E-06,,,,
2.93E-07,1.48E-06,1.48E-06,,,,
3.24E-07,1.28E-06,1.28E-06,,,,
3.39E-07,1.30E-06,1.30E-06,,,,
3.15E-07,1.27E-06,1.27E-06,,,,
2.92E-07,1.25E-06,1.25E-06,,,,
3.08E-07,1.27E-06,1.27E-06,,,,
3.37E-07,1.29E-06,1.29E-06,,,,
3.32E-07,1.29E-06,1.29E-06,,,,
3.04E-07,1.38E-06,1.38E-06,,,,
3.00E-07,1.26E-06,1.26E-06,,,,
3.26E-07,1.28E-06,1.28E-06,,,,
3.40E-07,1.42E-06,1.42E-06,,,,
3.21E-07,1.28E-06,1.28E-06,,,,
3.02E-07,1.26E-06,1.26E-06,,,,
3.14E-07,1.40E-06,1.40E-06,,,,
3.39E-07,1.30E-06,1.30E-06,,,,
3.36E-07,1.29E-06,1.29E-06,,,,
3.13E-07,1.14E-06,1.14E-06,,,,
3.08E-07,1.27E-06,1.27E-06,,,,
3.29E-07,1.28E-06,1.28E-06,,,,
3.43E-07,1.18E-06,1.18E-06,,,,
3.28E-07,1.28E-06,1.28E-06,,,,
3.11E-07,1.38E-06,1.38E-06,,,,
3.20E-07,1.27E-06,1.27E-06,,,,
3.40E-07,1.30E-06,1.30E-06,,,,
3.39E-07,1.29E-06,1.29E-06,,,,
3.19E-07,1.28E-06,1.28E-06,,,,
3.13E-07,1.27E-06,1.27E-06,,,,
3.31E-07,1.28E-06,1.28E-06,,,,
3.43E-07,1.42E-06,1.42E-06,,,,
3.30E-07,1.29E-06,1.29E-06,,,,
3.15E-07,1.27E-06,1.27E-06,,,,
3.21E-07,1.28E-06,1.28E-06,,,,
3.38E-07,1.30E-06,1.30E-06,,,,
3.38E-07,1.29E-06,1.29E-06,,,,
3.21E-07,1.26E-06,1.26E-06,,,,
3.16E-07,1.52E-06,1.52E-06,,,,
3.30E-07,1.40E-06,1.40E-06,,,,
3.40E-07,1.42E-06,1.42E-06,,,,
3.31E-07,1.28E-06,1.28E-06,,,,
3.17E-07,1.38E-06,1.38E-06,,,,
3.22E-07,1.27E-06,1.27E-06,,,,
3.37E-07,1.29E-06,1.29E-06,,,,
3.38E-07,1.28E-06,1.28E-06,,,,
3.24E-07,1.28E-06,1.28E-06,,,,
3.19E-07,1.27E-06,1.27E-06,,,,
3.30E-07,1.28E-06,1.28E-06,,,,
3.40E-07,1.28E-06,1.28E-06,,,,
3.32E-07,1.28E-06,1.28E-06,,,,
3.21E-07,1.28E-06,1.28E-06,,,,
3.24E-07,1.39E-06,1.39E-06,,,,
3.36E-07,1.28E-06,1.28E-06,,,,
3.37E-07,1.40E-06,1.40E-06,,,,
3.26E-07,1.27E-06,1.27E-06,,,,
3.20E-07,1.27E-06,1.27E-06,,,,
3.29E-07,1.52E-06,1.52E-06,,,,
3.37E-07,1.29E-06,1.29E-06,,,,
3.31E-07,1.28E-06,1.28E-06,,,,
3.21E-07,1.39E-06,1.39E-06,,,,
3.23E-07,1.39E-06,1.39E-06,,,,
3.33E-07,1.27E-06,1.27E-06,,,,
3.34E-07,1.28E-06,1.28E-06,,,,
3.24E-07,1.26E-06,1.26E-06,,,,
3.19E-07,1.26E-06,1.26E-06,,,,
3.26E-07,1.27E-06,1.27E-06,,,,
3.34E-07,1.38E-06,1.38E-06,,,,
3.29E-07,1.72E-06,1.72E-06,,,,
3.20E-07,1.39E-06,1.39E-06,,,,
3.21E-07,1.25E-06,1.25E-06,,,,
3.30E-07,1.27E-06,1.27E-06,,,,
3.32E-07,1.26E-06,1.26E-06,,,,
3.24E-07,1.26E-06,1.26E-06,,,,
3.19E-07,1.38E-06,1.38E-06,,,,
3.25E-07,1.27E-06,1.27E-06,,,,
3.32E-07,1.52E-06,1.52E-06,,,,
3.28E-07,1.37E-06,1.37E-06,,,,
3.21E-07,1.36E-06,1.36E-06,,,,
3.22E-07,1.25E-06,1.25E-06,,,,
3.29E-07,1.25E-06,1.25E-06,,,,
3.31E-07,1.25E-06,1.25E-06,,,,
3.25E-07,1.26E-06,1.26E-06,,,,
3.20E-07,1.24E-06,1.24E-06,,,,
3.25E-07,1.23E-06,1.23E-06,,,,
3.31E-07,1.25E-06,1.25E-06,,,,
3.28E-07,1.26E-06,1.26E-06,,,,
3.22E-07,1.37E-06,1.37E-06,,,,
3.22E-07,1.36E-06,1.36E-06,,,,
3.28E-07,1.13E-06,1.13E-06,,,,
3.31E-07,1.25E-06,1.25E-06,,,,
3.25E-07,1.25E-06,1.25E-06,,,,
3.22E-07,1.35E-06,1.35E-06,,,,
3.25E-07,1.24E-06,1.24E-06,,,,
3.30E-07,1.25E-06,1.25E-06,,,,
3.29E-07,1.24E-06,1.24E-06,,,,
3.23E-07,1.35E-06,1.35E-06,,,,
3.23E-07,1.35E-06,1.35E-06,,,,
3.28E-07,1.23E-06,1.23E-06,,,,
3.30E-07,1.23E-06,1.23E-06,,,,
3.26E-07,1.24E-06,1.24E-06,,,,
3.23E-07,1.34E-06,1.34E-06,,,,
3.26E-07,1.35E-06,1.35E-06,,,,
3.30E-07,1.23E-06,1.23E-06,,,,
3.28E-07,1.34E-06,1.34E-06,,,,
3.24E-07,1.34E-06,1.34E-06,,,,
3.23E-07,1.21E-06,1.21E-06,,,,
3.27E-07,1.21E-06,1.21E-06,,,,
3.29E-07,1.21E-06,1.21E-06,,,,
3.25E-07,1.33E-06,1.33E-06,,,,
3.22E-07,1.21E-06,1.21E-06,,,,
3.24E-07,1.20E-06,1.20E-06,,,,
3.28E-07,1.22E-06,1.22E-06,,,,
3.27E-07,1.21E-06,1.21E-06,,,,
3.23E-07,1.19E-06,1.19E-06,,,,
3.22E-07,1.20E-06,1.20E-06,,,,
3.25E-07,1.20E-06,1.20E-06,,,,
3.27E-07,1.18E-06,1.18E-06,,,,
3.24E-07,1.31E-06,1.31E-06,,,,
3.21E-07,1.30E-06,1.30E-06,,,,
3.23E-07,1.18E-06,1.18E-06,,,,
3.26E-07,1.30E-06,1.30E-06,,,,
3.25E-07,1.30E-06,1.30E-06,,,,
3.22E-07,1.17E-06,1.17E-06,,,,
3.21E-07,1.29E-06,1.29E-06,,,,
3.24E-07,1.17E-06,1.17E-06,,,,
3.26E-07,1.17E-06,1.17E-06,,,,
3.24E-07,1.17E-06,1.17E-06,,,,
3.21E-07,1.14E-06,1.14E-06,,,,
3.22E-07,1.15E-06,1.15E-06,,,,
3.25E-07,1.15E-06,1.15E-06,,,,
