Iex,Iin,I
0.0,0.0,0.0
1.2293592010355385,0.0380631202165616,1.2649226016264281
-2.29312088567848e-6,-1.4944464605999416e-6,-2.5865944206890897e-6
-2.296882670792307e-6,-1.509732514178124e-6,-2.601813830614139e-6
-2.3006922613495367e-6,-1.477646377823799e-6,-2.569661405566218e-6
-2.3046164784830694e-6,-1.4804489481736332e-6,-2.572396178644423e-6
-2.3086579463580575e-6,-1.4842036467738402e-6,-2.5760785795931527e-6
-2.312744798345318e-6,-1.5187356191429867e-6,-2.610538355727832e-6
-2.3168668800666576e-6,-1.5115855550884839e-6,-2.60331530945703e-6
-2.3210620073899287e-6,-1.5440242296490058e-6,-2.635677388820247e-6
-2.3253265419798736e-6,-1.521250646913334e-6,-2.612825917820385e-6
-2.3296128939042375e-6,-1.5391714637200796e-6,-2.6306668433769794e-6
-2.3339207208806098e-6,-1.5875511048822773e-6,-2.6789636268414638e-6
-2.3382804480121896e-6,-1.5816757258805663e-6,-2.6730061634467464e-6
-2.342672172210634e-6,-1.537742688196709e-6,-2.628986262093255e-6
-2.34706918277076e-6,-1.5796014944699468e-6,-2.6707581032798475e-6
-2.3514792634481348e-6,-1.552024295024142e-6,-2.643090807497193e-6
-2.3559258415722222e-6,-1.5886026978658594e-6,-2.679577985737818e-6
-2.3603823205319766e-6,-1.6141783945748176e-6,-2.7050578180174453e-6
-2.3648311171531727e-6,-1.5880473763468386e-6,-2.678830770557493e-6
-2.3692855170642083e-6,-1.5451138286573344e-6,-2.635796731287547e-6
-2.3737636739099915e-6,-1.552982216721249e-6,-2.6435643615513657e-6
-2.37823455408526e-6,-1.5871688134605766e-6,-2.6776464480612036e-6
-2.3826871918757354e-6,-1.5843950328646447e-6,-2.6747665472407374e-6
-2.387141566432518e-6,-1.6340731920771405e-6,-2.724336938202276e-6
-2.3916028246688996e-6,-1.619849684519692e-6,-2.71000109862839e-6
-2.3960463602826676e-6,-1.5578558872314982e-6,-2.6478917620107963e-6
-2.400463895110326e-6,-1.6103656220588786e-6,-2.7002831178324782e-6
-2.4048746730296495e-6,-1.6464019636557196e-6,-2.7362000789306404e-6
-2.409280988600503e-6,-1.6255068014373262e-6,-2.7151799075694767e-6
-2.4136662728187708e-6,-1.6602020551936427e-6,-2.7497506465909497e-6
-2.4180176584012237e-6,-1.6626345802258144e-6,-2.7520544480823352e-6
-2.4223490268011964e-6,-1.6480739625249166e-6,-2.7373592500082853e-6
-2.4266720536520423e-6,-1.6764849872781538e-6,-2.7656343252587264e-6
-2.4309644652427934e-6,-1.6624420907395726e-6,-2.7514525634782926e-6
-2.43521765380467e-6,-1.6901710734189634e-6,-2.7790384594327617e-6
-2.439447402359957e-6,-1.6279694980301705e-6,-2.7166908689028648e-6
-2.4436589845932084e-6,-1.6926920214073084e-6,-2.7812639289605353e-6
-2.4478322058421756e-6,-1.6717799352252608e-6,-2.7601970297117076e-6
-2.451963858793897e-6,-1.6378271680811467e-6,-2.7260863436048626e-6
-2.4560670008884954e-6,-1.6868953546829997e-6,-2.774994012433086e-6
-2.4601436477890574e-6,-1.7016755402119862e-6,-2.789608799494805e-6
-2.4641784728498467e-6,-1.6674973610845436e-6,-2.7552605440404777e-6
-2.4681679137983636e-6,-1.6587979240038637e-6,-2.7463863527732963e-6
-2.472123722330719e-6,-1.729480826514776e-6,-2.816891090950723e-6
-2.4760487381232108e-6,-1.7324706380205498e-6,-2.819699226559018e-6
-2.479928205000788e-6,-1.6828331850607098e-6,-2.7698744056719743e-6
-2.4837607031253013e-6,-1.6553104211953794e-6,-2.7421595326341926e-6
-2.487555613570237e-6,-1.705763127472574e-6,-2.792416009672877e-6
-2.4913144068822493e-6,-1.699124344600211e-6,-2.7855761675768715e-6
-2.495026307503956e-6,-1.7356544602677254e-6,-2.8218999756904416e-6
-2.498690732287545e-6,-1.7086364488644733e-6,-2.794671257770407e-6
-2.5023122323213703e-6,-1.6676577520869098e-6,-2.7534745017427883e-6
-2.5058956629448176e-6,-1.7285677945220147e-6,-2.8141625676958002e-6
-2.509430590882914e-6,-1.7056170109144588e-6,-2.7909839000652813e-6
-2.512916965427155e-6,-1.7398673355678632e-6,-2.825001105042546e-6
-2.516360212387611e-6,-1.7154811082684855e-6,-2.800375533598e-6
-2.519761333257262e-6,-1.7601900494695592e-6,-2.8448390202790126e-6
-2.523113469710762e-6,-1.7559092247722764e-6,-2.840306732103787e-6
-2.5264168119050053e-6,-1.735683288053007e-6,-2.819823551136966e-6
-2.529674389673187e-6,-1.7360663781336667e-6,-2.8199411948693375e-6
-2.53288933426551e-6,-1.771034519711429e-6,-2.854638350194604e-6
-2.536055091607661e-6,-1.7371838034342963e-6,-2.8205101950076713e-6
-2.5391709391034387e-6,-1.7523016949316705e-6,-2.8353430159651933e-6
-2.5422442928717474e-6,-1.742938369422053e-6,-2.825689853316223e-6
-2.545270817335382e-6,-1.8044080816305106e-6,-2.8868603853432195e-6
-2.5482490673019404e-6,-1.7401017356337616e-6,-2.822248545956096e-6
-2.551177508839136e-6,-1.786961706276781e-6,-2.8687945041798445e-6
-2.554059273197173e-6,-1.7452193140546597e-6,-2.8267287184649666e-6
-2.5568976564288985e-6,-1.814464934690432e-6,-2.895644873264468e-6
-2.559685610052071e-6,-1.7781667597263074e-6,-2.859007635879439e-6
-2.5624253905951772e-6,-1.7827684805224596e-6,-2.8632620414454436e-6
-2.5651202941110646e-6,-1.7558309054857907e-6,-2.8359688476608786e-6
-2.5677693698152577e-6,-1.82752289457569e-6,-2.907296103149049e-6
-2.570369486457553e-6,-1.8070752222397285e-6,-2.88647425275224e-6
-2.5729217723021927e-6,-1.7579561369756482e-6,-2.8369715956766994e-6
-2.575428395137781e-6,-1.79663772578453e-6,-2.8752595977443176e-6
-2.577889583152592e-6,-1.7905517797144265e-6,-2.8687706077967067e-6
-2.580302522024579e-6,-1.795934005824654e-6,-2.873739534234223e-6
-2.5826674145877634e-6,-1.8471149876554317e-6,-2.9244961872923796e-6
-2.584986263828106e-6,-1.8374921740469025e-6,-2.9144375847890243e-6
-2.587260286749735e-6,-1.7855577272125178e-6,-2.862057435547021e-6
-2.5894848942329175e-6,-1.7906974272188671e-6,-2.8667385658625235e-6
-2.5916623681603937e-6,-1.8029500853309424e-6,-2.8785209659732732e-6
-2.593795700333978e-6,-1.7850738159461312e-6,-2.8601637010611317e-6
-2.595883077924605e-6,-1.858224790151453e-6,-2.9328214589893385e-6
-2.597919645592889e-6,-1.7993368507834863e-6,-2.8734243808735826e-6
-2.5999113615882067e-6,-1.8100632462706894e-6,-2.8836307099300974e-6
-2.6018563243416075e-6,-1.8121529944839408e-6,-2.8851857623088716e-6
-2.6037551296780297e-6,-1.840861348558194e-6,-2.9133456405123237e-6
-2.605606319727945e-6,-1.872960149361726e-6,-2.9448816022609195e-6
-2.6074114157465132e-6,-1.846926187212953e-6,-2.9182709829895073e-6
-2.60917032899385e-6,-1.7916562616690702e-6,-2.862408984937364e-6
-2.610882336873754e-6,-1.830212676532539e-6,-2.900357404821898e-6
-2.612546235059224e-6,-1.8456861487464297e-6,-2.915206389115494e-6
-2.6141637856708206e-6,-1.8540831856555601e-6,-2.922963231144804e-6
-2.615732618085919e-6,-1.8826271934640314e-6,-2.950847724132923e-6
-2.6172570171732197e-6,-1.8530187634201288e-6,-2.9205648836452267e-6
-2.618731721925295e-6,-1.8648403104969947e-6,-2.9316922566383453e-6
-2.620159483278559e-6,-1.8544649066065757e-6,-2.9206048546245543e-6
-2.6215390208432517e-6,-1.8920399597663474e-6,-2.9574476389359486e-6
-2.6228728953988927e-6,-1.925392135373305e-6,-2.9900500005516834e-6
-2.6241559220008117e-6,-1.8241859199652846e-6,-2.8880715326388297e-6
